,IN_INTERNET_ALUNOS,IN_BANDA_LARGA,IN_REFEITORIO,IN_ESPACO_ATIVIDADE,IN_ACESSO_INTERNET_COMPUTADOR,TP_DEPENDENCIA,QT_MAT_FUND,TP_LOCALIZACAO,QT_PROF_PSICOLOGO,QT_PROF_PEDAGOGIA,QT_TRANSP_PUBLICO,QT_DOC_FUND
65406,0.0,1.0,0.0,0.0,0.0,3,0.0,1,0.0,2.0,4.0,0.0
65407,0.0,1.0,1.0,1.0,0.0,3,57.0,2,0.0,1.0,146.0,4.0
65408,0.0,,0.0,1.0,0.0,3,0.0,2,0.0,0.0,13.0,0.0
65409,1.0,0.0,1.0,0.0,1.0,4,0.0,1,1.0,0.0,0.0,0.0
65410,0.0,1.0,1.0,1.0,0.0,3,56.0,2,0.0,1.0,56.0,4.0
65411,0.0,1.0,1.0,1.0,0.0,3,123.0,1,0.0,1.0,43.0,6.0
65412,1.0,0.0,1.0,1.0,1.0,4,35.0,1,0.0,1.0,0.0,6.0
65413,1.0,1.0,0.0,0.0,0.0,4,43.0,1,0.0,1.0,0.0,5.0
65414,0.0,1.0,1.0,1.0,0.0,3,0.0,1,1.0,1.0,151.0,0.0
65415,0.0,1.0,1.0,1.0,0.0,3,0.0,1,1.0,1.0,218.0,0.0
65416,1.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,73.0,0.0
65417,0.0,0.0,0.0,0.0,0.0,4,75.0,1,0.0,0.0,0.0,8.0
65418,0.0,1.0,1.0,1.0,0.0,4,1144.0,1,4.0,4.0,0.0,58.0
65419,,,,,,4,,1,,,,
65420,0.0,,0.0,0.0,0.0,3,0.0,1,0.0,1.0,25.0,0.0
65421,1.0,1.0,0.0,9.0,1.0,4,129.0,1,0.0,1.0,1.0,12.0
65422,0.0,1.0,1.0,1.0,0.0,4,99.0,1,0.0,1.0,0.0,6.0
65423,0.0,,0.0,0.0,0.0,4,9.0,1,0.0,0.0,0.0,2.0
65424,0.0,1.0,0.0,0.0,0.0,3,146.0,1,0.0,2.0,86.0,7.0
65425,0.0,1.0,0.0,1.0,0.0,4,0.0,1,0.0,0.0,0.0,0.0
65426,,,,,,4,,1,,,,
65427,0.0,1.0,1.0,1.0,0.0,4,109.0,1,0.0,0.0,1.0,6.0
65428,0.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65429,1.0,1.0,0.0,1.0,0.0,4,148.0,1,0.0,1.0,0.0,13.0
65430,1.0,1.0,0.0,1.0,0.0,3,420.0,1,0.0,2.0,0.0,20.0
65431,0.0,1.0,1.0,0.0,0.0,3,155.0,1,0.0,1.0,65.0,8.0
65432,0.0,1.0,1.0,0.0,0.0,4,77.0,1,0.0,1.0,2.0,11.0
65433,0.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65434,,,,,,4,,1,,,,
65435,1.0,0.0,0.0,1.0,1.0,3,167.0,1,1.0,0.0,105.0,9.0
65436,0.0,1.0,0.0,1.0,0.0,4,35.0,1,0.0,1.0,0.0,3.0
65437,,,,,,4,,1,,,,
65438,,,,,,4,,1,,,,
65439,0.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65440,1.0,1.0,1.0,1.0,1.0,2,0.0,1,0.0,1.0,131.0,0.0
65441,0.0,1.0,0.0,1.0,0.0,4,51.0,1,0.0,0.0,0.0,9.0
65442,0.0,1.0,0.0,0.0,0.0,3,0.0,1,0.0,2.0,0.0,0.0
65443,0.0,1.0,1.0,1.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65444,1.0,1.0,1.0,0.0,1.0,2,0.0,1,0.0,5.0,36.0,0.0
65445,1.0,1.0,1.0,0.0,1.0,2,0.0,1,0.0,1.0,603.0,0.0
65446,0.0,1.0,0.0,1.0,0.0,4,7.0,1,0.0,0.0,0.0,2.0
65447,0.0,1.0,1.0,0.0,0.0,4,19.0,1,1.0,1.0,0.0,4.0
65448,0.0,0.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,9.0,0.0
65449,0.0,1.0,1.0,1.0,0.0,4,205.0,2,0.0,1.0,0.0,15.0
65450,0.0,0.0,1.0,1.0,0.0,3,118.0,1,0.0,1.0,40.0,6.0
65451,0.0,1.0,0.0,0.0,0.0,4,108.0,1,0.0,1.0,0.0,13.0
65452,0.0,1.0,0.0,1.0,0.0,4,80.0,1,0.0,0.0,0.0,7.0
65453,1.0,1.0,1.0,1.0,1.0,2,0.0,1,0.0,0.0,50.0,0.0
65454,,,,,,4,,1,,,,
65455,1.0,1.0,1.0,9.0,9.0,2,0.0,1,0.0,1.0,51.0,0.0
65456,0.0,1.0,0.0,0.0,0.0,4,60.0,1,0.0,7.0,0.0,4.0
65457,0.0,1.0,0.0,0.0,0.0,4,59.0,1,0.0,0.0,0.0,2.0
65458,0.0,1.0,0.0,0.0,0.0,4,63.0,2,0.0,0.0,0.0,4.0
65459,1.0,1.0,1.0,0.0,1.0,2,0.0,1,0.0,1.0,0.0,0.0
65460,1.0,1.0,0.0,1.0,0.0,4,143.0,1,0.0,2.0,1.0,14.0
65461,0.0,1.0,0.0,0.0,0.0,4,60.0,1,0.0,0.0,0.0,5.0
65462,0.0,1.0,0.0,1.0,0.0,4,28.0,1,0.0,0.0,0.0,3.0
65463,0.0,1.0,0.0,1.0,0.0,3,230.0,1,1.0,5.0,33.0,9.0
65464,1.0,0.0,0.0,0.0,0.0,3,163.0,1,0.0,1.0,82.0,8.0
65465,0.0,1.0,0.0,1.0,0.0,4,64.0,1,0.0,0.0,0.0,3.0
65466,0.0,1.0,0.0,0.0,0.0,4,28.0,1,0.0,0.0,0.0,2.0
65467,0.0,1.0,1.0,1.0,0.0,3,261.0,1,1.0,1.0,26.0,28.0
65468,0.0,1.0,0.0,0.0,0.0,4,118.0,1,0.0,0.0,0.0,6.0
65469,0.0,,1.0,9.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0
65470,0.0,1.0,0.0,0.0,0.0,4,96.0,1,0.0,1.0,0.0,11.0
65471,0.0,1.0,0.0,0.0,0.0,4,25.0,1,0.0,1.0,0.0,1.0
65472,0.0,1.0,0.0,0.0,0.0,3,119.0,1,0.0,1.0,39.0,7.0
65473,1.0,1.0,0.0,1.0,0.0,4,324.0,1,1.0,2.0,0.0,22.0
65474,0.0,1.0,0.0,0.0,0.0,4,96.0,1,0.0,1.0,0.0,10.0
65475,0.0,1.0,1.0,0.0,0.0,3,0.0,2,0.0,0.0,13.0,0.0
65476,1.0,1.0,0.0,1.0,1.0,1,0.0,1,0.0,0.0,0.0,0.0
65477,1.0,1.0,1.0,1.0,1.0,1,0.0,1,0.0,1.0,43.0,0.0
65478,1.0,1.0,0.0,1.0,1.0,1,0.0,1,0.0,0.0,19.0,0.0
65479,0.0,0.0,1.0,1.0,0.0,3,783.0,1,1.0,1.0,2.0,24.0
65480,1.0,1.0,0.0,0.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65481,0.0,1.0,0.0,1.0,0.0,3,,1,2.0,1.0,,
65482,0.0,,0.0,0.0,0.0,4,12.0,1,0.0,0.0,0.0,1.0
65483,0.0,1.0,0.0,0.0,0.0,4,46.0,1,0.0,0.0,0.0,5.0
65484,1.0,1.0,0.0,1.0,1.0,4,61.0,1,0.0,0.0,0.0,3.0
65485,0.0,1.0,0.0,0.0,0.0,3,342.0,2,1.0,2.0,93.0,13.0
65486,1.0,1.0,0.0,0.0,0.0,4,88.0,1,0.0,1.0,0.0,6.0
65487,0.0,0.0,0.0,0.0,0.0,3,109.0,1,1.0,2.0,155.0,5.0
65488,0.0,1.0,0.0,0.0,0.0,4,144.0,1,0.0,2.0,0.0,17.0
65489,0.0,1.0,0.0,0.0,0.0,4,0.0,1,1.0,2.0,0.0,0.0
65490,0.0,1.0,0.0,1.0,0.0,4,103.0,1,0.0,0.0,0.0,9.0
65491,0.0,0.0,0.0,0.0,0.0,3,421.0,1,0.0,3.0,210.0,22.0
65492,0.0,0.0,0.0,9.0,0.0,4,8.0,1,0.0,3.0,0.0,1.0
65493,0.0,0.0,1.0,0.0,0.0,3,15.0,2,0.0,0.0,14.0,2.0
65494,0.0,1.0,0.0,0.0,0.0,3,65.0,1,1.0,2.0,5.0,5.0
65495,1.0,1.0,0.0,0.0,1.0,4,186.0,1,0.0,3.0,0.0,20.0
65496,0.0,1.0,1.0,1.0,0.0,3,0.0,1,0.0,1.0,60.0,0.0
65497,0.0,1.0,0.0,9.0,0.0,4,95.0,1,0.0,0.0,0.0,9.0
65498,0.0,1.0,1.0,1.0,0.0,3,0.0,1,0.0,1.0,124.0,0.0
65499,0.0,,0.0,0.0,0.0,4,19.0,1,0.0,0.0,0.0,3.0
65500,0.0,,0.0,1.0,0.0,2,34.0,2,0.0,0.0,47.0,5.0
65501,0.0,1.0,0.0,1.0,0.0,3,359.0,1,0.0,1.0,0.0,21.0
65502,0.0,1.0,0.0,0.0,0.0,3,0.0,1,0.0,1.0,67.0,0.0
65503,0.0,1.0,1.0,9.0,0.0,3,0.0,1,1.0,1.0,70.0,0.0
65504,,,,,,4,,1,,,,
65505,0.0,1.0,1.0,1.0,0.0,3,0.0,1,0.0,1.0,50.0,0.0
65506,0.0,1.0,0.0,1.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65507,0.0,1.0,0.0,9.0,0.0,4,28.0,1,0.0,0.0,0.0,2.0
65508,1.0,1.0,0.0,0.0,9.0,4,45.0,1,0.0,0.0,0.0,3.0
65509,1.0,1.0,0.0,1.0,9.0,4,62.0,1,0.0,1.0,0.0,9.0
65510,0.0,1.0,0.0,0.0,0.0,4,62.0,1,0.0,0.0,0.0,3.0
65511,0.0,1.0,1.0,0.0,0.0,4,106.0,1,1.0,1.0,0.0,10.0
65512,0.0,1.0,0.0,9.0,0.0,3,53.0,1,0.0,0.0,4.0,2.0
65513,0.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,126.0,0.0
65514,0.0,1.0,1.0,1.0,0.0,3,724.0,1,2.0,15.0,3.0,24.0
65515,0.0,1.0,0.0,0.0,0.0,4,19.0,1,0.0,1.0,0.0,1.0
65516,0.0,1.0,0.0,0.0,0.0,4,283.0,1,1.0,2.0,0.0,26.0
65517,0.0,0.0,0.0,1.0,0.0,3,0.0,1,0.0,1.0,19.0,0.0
65518,0.0,1.0,0.0,0.0,0.0,4,35.0,1,0.0,1.0,0.0,3.0
65519,0.0,1.0,1.0,1.0,0.0,3,0.0,1,0.0,2.0,121.0,0.0
65520,0.0,0.0,1.0,0.0,0.0,3,0.0,2,0.0,1.0,74.0,0.0
65521,0.0,1.0,0.0,0.0,0.0,4,202.0,1,0.0,1.0,0.0,10.0
65522,0.0,1.0,0.0,9.0,0.0,4,80.0,1,1.0,0.0,0.0,16.0
65523,0.0,1.0,0.0,0.0,0.0,4,61.0,1,0.0,1.0,0.0,4.0
65524,0.0,1.0,0.0,0.0,0.0,4,118.0,1,0.0,1.0,0.0,4.0
65525,,,,,,4,,1,,,,
65526,0.0,1.0,1.0,0.0,0.0,4,189.0,1,1.0,1.0,0.0,20.0
65527,0.0,1.0,1.0,0.0,0.0,4,0.0,1,0.0,1.0,0.0,0.0
65528,0.0,1.0,0.0,0.0,0.0,4,161.0,1,0.0,2.0,0.0,8.0
65529,0.0,1.0,1.0,0.0,0.0,4,74.0,1,0.0,1.0,0.0,10.0
65530,1.0,1.0,0.0,1.0,1.0,3,21.0,2,0.0,0.0,18.0,2.0
65531,,,,,,3,,2,,,,
65532,0.0,0.0,0.0,1.0,0.0,4,11.0,1,0.0,0.0,0.0,1.0
65533,,,,,,4,,1,,,,
65534,1.0,1.0,0.0,0.0,0.0,4,32.0,1,0.0,1.0,0.0,3.0
65535,1.0,1.0,0.0,0.0,1.0,4,0.0,1,1.0,0.0,0.0,0.0
65536,0.0,1.0,0.0,0.0,0.0,4,61.0,1,1.0,0.0,0.0,4.0
65537,0.0,1.0,1.0,1.0,0.0,3,0.0,1,1.0,1.0,34.0,0.0
65538,0.0,1.0,1.0,0.0,0.0,4,32.0,1,0.0,88888.0,0.0,7.0
65539,0.0,1.0,0.0,0.0,0.0,4,64.0,1,0.0,1.0,0.0,3.0
65540,1.0,1.0,0.0,0.0,1.0,3,0.0,1,0.0,26.0,84.0,0.0
65541,0.0,1.0,0.0,0.0,0.0,3,1101.0,1,1.0,2.0,0.0,35.0
65542,0.0,1.0,0.0,0.0,0.0,3,0.0,1,1.0,1.0,0.0,0.0
65543,0.0,1.0,1.0,0.0,0.0,3,0.0,1,1.0,1.0,0.0,0.0
65544,0.0,0.0,0.0,1.0,0.0,4,27.0,1,0.0,0.0,0.0,4.0
65545,1.0,0.0,0.0,0.0,1.0,3,986.0,1,1.0,3.0,0.0,34.0
65546,0.0,0.0,1.0,1.0,0.0,3,303.0,1,1.0,1.0,296.0,11.0
65547,0.0,1.0,1.0,1.0,0.0,3,0.0,1,1.0,1.0,14.0,0.0
65548,1.0,1.0,1.0,0.0,1.0,4,113.0,1,1.0,1.0,0.0,17.0
65549,0.0,,0.0,0.0,0.0,4,37.0,1,0.0,0.0,0.0,4.0
65550,0.0,1.0,0.0,0.0,0.0,4,45.0,1,0.0,1.0,0.0,5.0
65551,,,,,,4,,1,,,,
65552,0.0,1.0,0.0,0.0,0.0,3,301.0,1,0.0,2.0,274.0,11.0
65553,0.0,1.0,0.0,1.0,0.0,3,211.0,2,0.0,0.0,375.0,12.0
65554,,,,,,4,,1,,,,
65555,1.0,0.0,1.0,0.0,0.0,3,271.0,2,0.0,1.0,237.0,14.0
65556,,,,,,4,,1,,,,
65557,0.0,,1.0,0.0,0.0,4,64.0,1,0.0,0.0,0.0,3.0
65558,0.0,1.0,1.0,0.0,0.0,3,69.0,1,0.0,0.0,190.0,7.0
65559,0.0,1.0,0.0,0.0,0.0,4,63.0,1,0.0,0.0,0.0,5.0
65560,0.0,1.0,0.0,0.0,0.0,4,25.0,1,0.0,0.0,0.0,2.0
65561,1.0,1.0,0.0,0.0,0.0,4,0.0,1,0.0,0.0,0.0,0.0
65562,0.0,,0.0,0.0,0.0,3,92.0,2,0.0,1.0,104.0,10.0
65563,1.0,1.0,1.0,0.0,1.0,4,45.0,1,1.0,1.0,1.0,15.0
65564,0.0,0.0,1.0,0.0,0.0,4,73.0,1,0.0,0.0,0.0,6.0
65565,0.0,1.0,1.0,0.0,0.0,3,145.0,1,0.0,0.0,144.0,10.0
65566,1.0,0.0,1.0,1.0,0.0,3,210.0,1,1.0,1.0,210.0,13.0
65567,0.0,1.0,0.0,0.0,0.0,3,153.0,1,0.0,1.0,37.0,8.0
65568,0.0,1.0,1.0,0.0,0.0,3,0.0,1,1.0,2.0,25.0,0.0
65569,1.0,1.0,0.0,9.0,1.0,4,307.0,1,0.0,0.0,0.0,31.0
65570,1.0,0.0,0.0,9.0,0.0,4,35.0,1,0.0,4.0,0.0,4.0
65571,0.0,0.0,0.0,0.0,0.0,3,209.0,1,0.0,1.0,137.0,12.0
